Country,Overall,Male,Female
Tunisia,75.4,72.2,78.6
Turkey,76.3,73.7,79.4
Turkmenistan,64.65,60.62,68.91
U.S. Virgin Islands,78.94,75.89,82.01
Uganda,52.24,51.68,52.73
Ukraine,67.54,61.78,73.54
United Arab Emirates,75.94,75.25,77.04
United Kingdom,79.53,77.38,81.68
United States,77.97,75.35,80.51
Uruguay,76.36,72.72,79.85
Uzbekistan,67.44,64.33,70.66
Vanuatu,69.99,68.2,72.06
Venezuela,73.73,70.83,76.78
Viet Nam,74.35,72.33,76.21
Western Sahara,65.95,64.27,68.1
Yemen,63.94,62.52,65.36
Zambia,46.93,46.49,47.26
Zimbabwe,46.59,47.45,45.43
